algorithm,core type,max. nonproximity,min. nonproximity,avg. nonproximity
rectpack_maxrectsrot,all,1.6882468655670242,0.0,0.25091338358823967
rectpack_maxrectsrot,big,0,0,0.0
rectpack_maxrectsrot,A72,2.5255004077870877,0,0.9676480305135033
rectpack_maxrectsrot,Mali,4.127338812702791,0,0.5889442537387015
rectpack_maxrectsrot,LITTLE,1.130110497237569,0,0.008248981731661088
rectpack_maxrectsnorot,all,1.6882468655670242,0.0,0.13927091227448443
rectpack_maxrectsnorot,big,0,0,0.0
rectpack_maxrectsnorot,A72,2.5255004077870877,0,0.44567654255066264
rectpack_maxrectsnorot,Mali,3.3764937311340484,0,0.3858256555330035
rectpack_maxrectsnorot,LITTLE,1.4530123651670612,0,0.010605929672752272
rectpack_guillotinerot,all,2.9307880613332293,0.0,0.40636004093474154
rectpack_guillotinerot,big,0,0,0.0
rectpack_guillotinerot,A72,2.697407351870883,0,0.5085918548571985
rectpack_guillotinerot,Mali,5.436471911636689,0,1.1007301023915008
rectpack_guillotinerot,LITTLE,2.7181136543014994,0,0.35515077668765616
rectpack_guillotinenorot,all,1.7684759137621109,0.0,0.2241688528662575
rectpack_guillotinenorot,big,0,0,0.0
rectpack_guillotinenorot,A72,0,0,0.0
rectpack_guillotinenorot,Mali,5.305427741286333,0,1.1812263310258315
rectpack_guillotinenorot,LITTLE,0,0,0.0
rectpack_skylinerot,all,1.6882468655670242,0.0,0.20481885701412827
rectpack_skylinerot,big,0,0,0.0
rectpack_skylinerot,A72,2.5255004077870877,0,0.29711769503377505
rectpack_skylinerot,Mali,3.706954540829593,0,0.8924660625746033
rectpack_skylinerot,LITTLE,0,0,0.0
rectpack_skylinenorot,all,1.6882468655670242,0.0,0.13570194823914633
rectpack_skylinenorot,big,0,0,0.0
rectpack_skylinenorot,A72,2.5255004077870877,0,0.29711769503377505
rectpack_skylinenorot,Mali,3.3764937311340484,0,0.4858848015831049
rectpack_skylinenorot,LITTLE,0,0,0.0
strippacking,all,1.6314539925157994,0.0,0.06711841798232683
strippacking,big,0,0,0.0
strippacking,A72,0,0,0.0
strippacking,Mali,3.2629079850315987,0,0.31444039436233534
strippacking,LITTLE,0,0,0.0
heuristic_random,all,0.0,0.0,0.0
heuristic_random,big,0,0,0.0
heuristic_random,A72,0,0,0.0
heuristic_random,Mali,0,0,0.0
heuristic_random,LITTLE,0,0,0.0
heuristic_totalarea,all,0.0,0.0,0.0
heuristic_totalarea,big,0,0,0.0
heuristic_totalarea,A72,0,0,0.0
heuristic_totalarea,Mali,0,0,0.0
heuristic_totalarea,LITTLE,0,0,0.0
heuristic_corearea,all,0.0,0.0,0.0
heuristic_corearea,big,0,0,0.0
heuristic_corearea,A72,0,0,0.0
heuristic_corearea,Mali,0,0,0.0
heuristic_corearea,LITTLE,0,0,0.0
